ticker,issuer_name,cik,sector,status,archetype_guess,config_path,last_checked_at,last_filing_date_seen,last_processed_period,activation_fail_count,notes
EBAY,eBay Inc.,1065088,Consumer Discretionary,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/ebay.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
ECL,Ecolab,31462,Materials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/ecl.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
EIX,Edison International,827052,Utilities,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/eix.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
EW,Edwards Lifesciences,1099800,Health Care,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/ew.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
EA,Electronic Arts,712515,Communication Services,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/ea.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
ELV,Elevance Health,1156039,Health Care,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/elv.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
EME,Emcor,1053507,Industrials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/eme.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
EMR,Emerson Electric,32604,Industrials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/emr.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
ETR,Entergy,65984,Utilities,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/etr.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
EOG,EOG Resources,821189,Energy,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/eog.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
EPAM,EPAM Systems,1352010,Information Technology,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/epam.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
EQT,EQT Corporation,33213,Energy,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/eqt.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
EFX,Equifax,33185,Industrials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/efx.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
EL,Estée Lauder Companies (The),1001250,Consumer Staples,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/el.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
EVRG,Evergy,1711269,Utilities,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/evrg.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
ES,Eversource Energy,72741,Utilities,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/es.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
EXC,Exelon,1109357,Utilities,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/exc.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
EXE,Expand Energy,895126,Energy,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/exe.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
EXPE,Expedia Group,1324424,Consumer Discretionary,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/expe.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
